Green,Yellow,Red
174,20,7
18,39,594
40,20,10
6,35,129
71,381,256
228,47,87
146,46,25
130,22,287
26,46,20
73,193,10
110,277,11
38,20,171
22,5,12
103,4,39
130,174,187
19,1,24
39,98,143
194,70,89
180,146,122
180,18,97
97,18,47
238,154,119
181,40,39
110,17,199
231,66,66
126,7,132
67,8,60
270,98,25
95,60,54
424,355,25
198,81,66
52,4,82
4,17,27
83,12,4
7,4,216
119,14,406
11,38,7
31,38,129
186,20,312
77,104,12
13,177,7
332,134,305
250,4,66
245,11,206
195,4,35
48,19,325
49,30,21
20,164,192
237,12,42
229,7,97
78,25,4
38,90,6
49,7,39
7,73,410
26,34,265
122,412,28
104,319,70
90,63,194
17,45,6
98,7,26
15,45,94
21,17,27
185,45,14
69,4,228
80,6,105
125,62,69
41,42,96
41,158,227
162,18,328
21,34,49
208,223,129
85,28,308
286,111,109
17,20,5
,8,49
,4,116
,173,116
,10,41
,112,
,39,
,104,
,150,
,95,
,53,
,368,
,45,
,47,
,209,
,44,
,8,
,63,
,45,
,47,
,411,
,77,
,161,
,47,
,238,
,66,
,48,
,294,
,21,
,14,
,63,
,241,
,15,
,3,
,3,
,27,
,26,
,145,
,22,
,14,
,14,
,102,
,20,
,403,
,21,
,10,
,4,
,255,
,160,
,256,
,22,
,21,
,171,
,4,
,256,
,109,
,25,
,6,
,4,
,33,
,424,
,208,
,27,
,326,
,70,
,181,
,28,
,210,
,73,
,89,
,213,
,200,
,40,
,5,
,4,
,6,
,137,
,7,
,171,
,96,
,34,
,357,
,10,
,47,
,74,
,24,
,35,
,47,
,23,
,256,
,28,
,340,
,123,
,179,
,111,
,137,
,210,
,116,
,283,
,28,
,18,
,168,
,87,
,16,
,17,
,13,
,162,
,234,
,7,
,123,
,46,
,3,
,31,
,595,
,4,
,4,
,19,
,12,
,20,
,4,
,2,
,257,
,24,
,216,
,24,
,39,
,24,
,305,
,248,
,46,
,42,
,21,
,28,
,29,
,48,
,57,
,63,
,38,
,75,
,223,
,199,
,44,
,234,
,284,
,7,
,404,
,12,
,41,
,214,
,12,
,25,
,531,
,28,
,25,
,131,
,664,
,34,
,257,
,49,
,371,
,122,
,12,
,5,
,227,
,69,
,60,
,32,
,270,
,42,
,6,
,8,
,124,
,24,
,194,
,158,
,41,
,139,
,5,
,73,
,252,
,14,
,133,
,182,
,35,
,258,
,6,
,82,
,63,
,44,
,14,
,3,
,120,
,77,
,147,
,95,
,227,
,73,
,61,
,293,
,62,
,55,
,103,
,103,
,58,
,167,
,110,
,28,
,25,
,10,
,14,
,34,
,165,
,110,
,106,
,45,
,8,
,140,
,26,
,17,
,277,
,29,
,11,
,328,
,7,
,109,
,10,
,4,
,24,
,10,
,38,
,25,
,20,
,202,
,102,
,152,
,174,
,26,
,179,
,285,
,90,
,48,
,24,
,7,
,21,
,27,
,13,
,108,
,17,
,17,
,17,
,55,
,42,
,57,
,186,
,311,
,5,
,35,
,40,
,195,
,5,
,19,
,5,
,26,
,10,
,10,
,7,
,7,
,7,
,72,
,91,
,7,
,145,
,57,
,5,
,20,
,27,
,18,
,5,
,11,
,302,
,47,
,209,
,45,
,14,
,104,
,175,
,5,
,21,
,66,
,30,
,91,
,140,
,126,
,68,
,391,
,225,
,32,
,18,
,3,
,3,
,10,
,22,
,126,
,10,
,209,
,21,
,47,
,47,
,28,
,33,
,14,
,336,
,4,
,21,
,102,
,214,
,25,
,257,
,138,
,231,
,226,
,10,
,9,
,141,
,4,
,656,
,31,
,244,
,20,
,21,
,125,
,225,
,3,
,105,
,53,
,99,
,91,
,39,
,160,
,257,
,75,
,102,
,38,
,60,
,27,
,3,
,20,
,56,
,98,
,158,
,56,
,9,
,1,
,222,
,27,
,4,
,199,
,31,
,248,
,4,
,139,
,59,
,6,
,6,
,368,
,40,
,204,
,34,
,87,
,49,
,50,
,544,
,10,
,209,
,74,
,172,
,4,
,106,
,255,
,31,
,81,
,32,
,18,
,35,
,412,
,7,
,53,
,126,
,152,
,194,
,349,
,33,
,33,
,6,
,223,
,75,
,20,
,55,
,13,
,19,
,104,
,4,
,34,
,74,
,13,
,69,
,6,
,168,
,95,
,21,
,174,
,10,
,73,
,12,
,13,
,188,
,283,
,8,
,217,
,3,
,61,
,444,
,527,
,136,
,183,
,199,
,13,
,180,
,18,
,4,
,74,
,167,
,52,
,10,
,91,
,31,
,43,
,35,
,45,
,11,
,154,
,210,
,416,
,70,
,69,
,89,
,62,
,62,
,34,
,56,
,56,
,327,
,105,
,181,
,279,
,2,
,76,
,111,
,13,
,6,
,194,
,194,
,182,
,74,
,96,
,35,
,4,
,17,
,238,
,154,
,77,
,38,
,7,
,3,
,1,
,145,
,106,
,35,
,6,
,119,
,20,
,35,
,55,
,341,
,191,
,7,
,7,
,39,
,295,
,49,
,7,
,27,
,4,
,11,
,54,
,33,
,8,
,28,
,18,
,17,
,179,
,121,
,28,
,188,
,31,
,207,
,4,
,44,
,35,
,101,
,40,
,320,
,94,
,19,
,26,
,241,
,103,
,24,
,24,
,92,
,3,
,17,
,161,
,10,
,59,
,144,
,13,
,31,
,102,
,4,
,10,
,17,
,146,
,65,
,69,
,33,
,209,
,8,
,101,
,34,
,202,
,12,
,17,
,286,
,22,
,36,
,117,
,85,
,286,
,42,
,17,
,256,
,219,
,60,
,20,
,98,
,22,
,10,
,193,
,28,
,48,
,47,
,66,
,34,
,28,
,25,
,158,
,62,
,25,
,326,
,4,
,139,
,5,
,26,
,25,
,187,
,39,
,29,
,34,
,14,
,8,
,123,
,40,
,124,
,29,
,104,
,5,
,29,
,29,
,130,
,118,
,112,
,242,
,98,
,210,
,122,
,19,
,60,
,133,
,19,
,40,
,73,
,26,
,73,
,4,
,35,
,17,
,131,
,214,
,157,
,8,
,25,
,18,
,17,
,32,
,43,
,95,
,33,
,105,
,87,
,75,
,46,
,25,
,217,
,172,
,147,
,59,
,126,
,3,
,4,
,73,
,4,
,60,
,18,
,69,
,14,
,236,
,68,
,249,
,224,
,41,
,42,
,87,
,45,
,5,
,25,
,45,
,95,
,212,
,124,
,96,
,202,
,209,
,403,
,196,
