None,Slight,Moderate,Extensive,Complete
453,352,58,22,213
383,67,211,263,306
137,452,67,375,61
166,234,33,233,312
67,163,46,228,239
316,100,338,190,290
52,233,180,723,415
180,32,283,110,121
72,187,109,53,365
177,137,603,271,101
82,234,234,75,206
72,240,549,264,267
404,298,318,137,458
404,180,120,129,529
436,192,165,115,474
47,166,208,647,604
177,239,142,184,401
201,283,101,184,390
264,234,113,438,383
206,234,121,204,67
158,234,519,304,215
44,206,60,137,388
221,159,150,290,452
58,150,641,72,522
,198,30,114,768
,162,53,341,745
,54,151,197,383
,54,22,211,169
,323,432,44,179
,157,157,128,
,45,131,276,
,247,348,199,
,102,263,52,
,54,327,198,
,236,362,221,
,85,814,82,
,330,81,401,
,67,191,117,
,507,493,137,
,155,184,415,
,155,255,381,
,46,60,93,
,64,106,65,
,37,234,738,
,334,144,253,
,334,89,221,
,68,86,530,
,116,583,253,
,87,257,432,
,52,257,179,
,241,150,261,
,87,136,186,
,292,53,51,
,291,53,243,
,43,205,151,
,59,151,,
,408,213,,
,233,59,,
,712,228,,
,61,452,,
,81,390,,
,536,389,,
,239,386,,
,180,94,,
,236,247,,
,128,247,,
,59,235,,
,100,381,,
,60,37,,
,22,151,,
,542,47,,
,542,66,,
,120,201,,
,52,229,,
,330,247,,
,183,201,,
,199,144,,
,228,234,,
,53,578,,
,235,494,,
,137,86,,
,361,233,,
,131,383,,
,75,1096,,
,428,88,,
,89,152,,
,54,54,,
,198,121,,
,171,292,,
,145,151,,
,421,151,,
,94,80,,
,75,304,,
,164,256,,
,31,37,,
,304,1089,,
,178,311,,
,67,977,,
,369,99,,
,88,646,,
,60,247,,
,51,450,,
,243,80,,
,107,164,,
,138,255,,
,47,73,,
,47,386,,
,67,206,,
,54,229,,
,37,138,,
,278,183,,
,332,138,,
,29,143,,
,165,367,,
,458,145,,
,400,177,,
,99,177,,
,257,185,,
,93,151,,
,44,38,,
,73,67,,
,234,593,,
,190,194,,
,151,236,,
,169,233,,
,169,339,,
,65,183,,
,74,367,,
,82,135,,
,164,61,,
,177,191,,
,415,61,,
,145,31,,
,128,64,,
,94,310,,
,51,204,,
,190,200,,
,211,61,,
,67,380,,
,45,142,,
,68,64,,
,81,1145,,
,486,61,,
,222,115,,
,59,647,,
,101,86,,
,141,1342,,
,204,228,,
,243,781,,
,57,361,,
,89,361,,
,45,115,,
,152,698,,
,201,93,,
,156,109,,
,87,361,,
,103,81,,
,204,472,,
,68,457,,
,152,388,,
,485,46,,
,99,180,,
,58,246,,
,222,145,,
,235,396,,
,304,72,,
,45,32,,
,220,52,,
,222,271,,
,29,31,,
,68,89,,
,73,103,,
,326,136,,
,,163,,
,,235,,
,,528,,
,,247,,
,,271,,
,,38,,
,,291,,
,,57,,
,,128,,
,,138,,
,,199,,
,,240,,
,,500,,
,,204,,
,,89,,
,,192,,
,,271,,
,,369,,
,,86,,
,,267,,
,,222,,
,,80,,
,,169,,
,,66,,
,,115,,
,,93,,
,,107,,
,,577,,
,,325,,
,,232,,
,,219,,
,,19,,
,,431,,
,,529,,
,,180,,
,,254,,
,,249,,
,,191,,
,,226,,
,,178,,
,,67,,
,,53,,
,,228,,
,,267,,
,,116,,
,,236,,
,,46,,
,,263,,
,,40,,
,,73,,
,,107,,
,,67,,
,,65,,
,,430,,
,,169,,
,,388,,
,,246,,
,,311,,
,,87,,
,,58,,
,,415,,
,,415,,
,,162,,
,,206,,
,,43,,
,,81,,
,,19,,
,,205,,
,,138,,
,,208,,
,,211,,
,,193,,
,,472,,
,,472,,
,,211,,
,,326,,
,,24,,
,,51,,
,,73,,
,,738,,
,,199,,
,,320,,
,,289,,
,,577,,
,,67,,
,,121,,
,,80,,
,,738,,
,,215,,
,,59,,
,,205,,
,,61,,
,,760,,
,,200,,
,,142,,
,,78,,
,,150,,
,,67,,
,,303,,
,,81,,
,,65,,
,,326,,
,,46,,
,,248,,
,,54,,
,,156,,
,,180,,
,,359,,
,,230,,
,,234,,
,,227,,
,,65,,
,,103,,
,,103,,
,,261,,
,,285,,
,,187,,
,,158,,
,,432,,
,,179,,
,,529,,
,,113,,
,,177,,
,,199,,
,,136,,
,,88,,
,,46,,
,,108,,
,,120,,
,,157,,
,,366,,
,,206,,
,,193,,
,,81,,
,,141,,
,,33,,
,,194,,
,,369,,
,,335,,
,,267,,
,,484,,
,,59,,
,,710,,
,,220,,
,,564,,
,,317,,
