None,Slight,Moderate,Extensive,Complete
382,147,28,6,72
345,35,192,65,38
52,59,16,282,35
5,92,15,71,13
25,25,66,169,207
9,18,14,34,189
75,245,267,17,281
123,55,102,652,62
35,1,201,30,140
36,85,57,17,23
99,52,545,72,145
36,188,29,39,128
62,183,391,225,228
91,282,29,132,12
35,126,90,87,40
47,22,36,71,37
135,25,359,100,500
135,188,7,575,157
375,167,39,147,386
2,127,113,41,64
75,169,23,268,186
91,159,3,15,329
67,91,49,66,398
98,34,152,114,16
21,17,44,118,336
162,99,90,257,176
20,120,447,47,148
34,124,6,60,344
90,66,16,281,283
144,12,80,47,5
35,3,3,25,707
132,3,101,1,604
28,55,76,95,63
40,36,10,139,48
243,4,39,85,126
,5,318,2,
,35,189,88,
,50,92,51,
,37,330,2,
,220,788,301,
,67,65,35,
,60,6,20,
,89,471,209,
,27,49,215,
,155,428,26,
,14,14,47,
,14,23,700,
,6,62,32,
,21,159,90,
,18,55,226,
,71,66,48,
,176,11,191,
,35,330,391,
,5,17,37,
,25,242,39,
,10,242,101,
,56,111,6,
,20,22,182,
,13,17,15,
,1,17,,
,490,189,,
,57,100,,
,65,41,,
,3,27,,
,13,43,,
,169,43,,
,13,42,,
,179,183,,
,634,16,,
,43,170,,
,61,38,,
,400,304,,
,203,9,,
,95,35,,
,15,35,,
,40,52,,
,41,273,,
,41,15,,
,147,65,,
,18,11,,
,23,26,,
,3,66,,
,400,38,,
,400,98,,
,28,16,,
,4,45,,
,178,47,,
,142,332,,
,180,478,,
,196,42,,
,24,42,,
,28,182,,
,96,66,,
,106,1063,,
,342,48,,
,42,74,,
,58,4,,
,361,34,,
,30,57,,
,28,92,,
,181,98,,
,111,40,,
,65,103,,
,18,37,,
,51,215,,
,265,122,,
,10,13,,
,54,1072,,
,15,239,,
,75,695,,
,27,42,,
,17,18,,
,135,495,,
,189,230,,
,27,186,,
,10,54,,
,7,19,,
,196,61,,
,88,26,,
,73,116,,
,2,15,,
,2,15,,
,413,128,,
,210,203,,
,51,62,,
,8,49,,
,19,24,,
,98,31,,
,225,110,,
,7,58,,
,127,62,,
,2,71,,
,178,62,,
,13,62,,
,78,29,,
,54,100,,
,1,1,,
,26,45,,
,201,547,,
,24,17,,
,70,8,,
,68,192,,
,68,50,,
,19,142,,
,6,27,,
,14,14,,
,76,39,,
,36,175,,
,30,2,,
,209,25,,
,98,9,,
,112,14,,
,2,196,,
,4,12,,
,32,162,,
,59,18,,
,52,189,,
,192,40,,
,44,4,,
,5,1109,,
,154,18,,
,73,30,,
,16,324,,
,38,34,,
,155,987,,
,154,206,,
,29,759,,
,23,342,,
,58,342,,
,27,9,,
,175,541,,
,10,11,,
,10,77,,
,150,342,,
,12,110,,
,36,140,,
,6,10,,
,6,64,,
,74,155,,
,155,236,,
,54,201,,
,116,7,,
,71,102,,
,86,192,,
,103,65,,
,103,127,,
,61,28,,
,561,2,,
,16,189,,
,114,30,,
,30,133,,
,316,9,,
,79,30,,
,3,9,,
,115,120,,
,206,130,,
,75,56,,
,72,9,,
,72,491,,
,30,6,,
,30,237,,
,135,82,,
,15,5,,
,123,23,,
,243,13,,
,3,95,,
,11,21,,
,16,85,,
,90,189,,
,35,231,,
,63,90,,
,7,17,,
,,153,,
,,154,,
,,203,,
,,135,,
,,43,,
,,7,,
,,113,,
,,64,,
,,151,,
,,48,,
,,63,,
,,41,,
,,8,,
,,21,,
,,303,,
,,11,,
,,133,,
,,3,,
,,164,,
,,436,,
,,16,,
,,48,,
,,413,,
,,217,,
,,124,,
,,201,,
,,93,,
,,43,,
,,10,,
,,13,,
,,28,,
,,38,,
,,43,,
,,25,,
,,9,,
,,233,,
,,24,,
,,9,,
,,52,,
,,10,,
,,42,,
,,2,,
,,68,,
,,49,,
,,53,,
,,8,,
,,55,,
,,1,,
,,209,,
,,209,,
,,76,,
,,98,,
,,14,,
,,31,,
,,71,,
,,4,,
,,48,,
,,91,,
,,190,,
,,179,,
,,146,,
,,119,,
,,251,,
,,192,,
,,265,,
,,5,,
,,12,,
,,57,,
,,672,,
,,154,,
,,170,,
,,98,,
,,24,,
,,162,,
,,89,,
,,561,,
,,8,,
,,561,,
,,15,,
,,49,,
,,195,,
,,700,,
,,176,,
,,23,,
,,88,,
,,32,,
,,587,,
,,129,,
,,117,,
,,435,,
,,56,,
,,197,,
,,37,,
,,3,,
,,5,,
,,27,,
,,36,,
,,90,,
,,14,,
,,226,,
,,14,,
,,119,,
,,10,,
,,21,,
,,193,,
,,2,,
,,186,,
,,19,,
,,77,,
,,77,,
,,126,,
,,233,,
,,51,,
,,105,,
,,391,,
,,37,,
,,275,,
,,3,,
,,43,,
,,168,,
,,64,,
,,24,,
,,3,,
,,30,,
,,61,,
,,12,,
,,36,,
,,28,,
,,83,,
,,40,,
,,329,,
,,22,,
,,34,,
,,28,,
,,10,,
,,125,,
,,17,,
,,151,,
,,275,,
,,255,,
,,13,,
,,431,,
,,5,,
,,655,,
,,459,,
,,6,,
,,149,,
,,109,,
,,229,,
,,22,,
,,8,,
,,8,,
,,36,,
,,30,,
